currency,gasoline,midGrade,premium,diesel,cities
usd,4.8320,5.0600,5.4490,5.4840,Bellingham
usd,5.2570,5.5350,5.7880,6.0550,Bremerton
usd,5.0390,5.2770,5.4820,6.1360,Olympia
usd,4.8670,5.2030,5.4450,5.7270,Richland-Kennewick-Pasco
usd,5.3790,5.6230,5.8780,6.2240,Seattle-Bellevue-Everett
usd,4.5430,4.8250,5.0870,5.5960,Spokane
usd,5.1300,5.3800,5.6620,6.1790,Tacoma
usd,4.8030,5.1300,5.4470,5.6460,Yakima
usd,4.9330,5.2090,5.4690,5.7140,Vancouver
usd,4.5320,4.7490,4.8160,4.9590,Clarkson
usd,5.0050,5.3020,5.5910,5.7340,Longview
usd,4.8000,5.0730,5.2660,5.5250,Mount Vernon-Anacortes
usd,5.0360,5.3140,5.5300,5.9160,Walla Walla
usd,4.6620,4.8850,5.0800,5.5990,Wenatchee
